run_name,row_in_run,future_return_bps,move_probability,direction_probability_up,direction_confidence,signal_direction,signed_return_bps,net_return_bps_1bps_cost,specification,move_threshold,direction_threshold
20260717_192613,2244,2.499800253301654,0.6594740460591078,0.3419913863908925,0.6580086136091075,-1,-2.499800253301654,-3.499800253301654,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_192613,2691,1.5188683797728864,0.6530160204118003,0.34439327937236086,0.6556067206276391,-1,-1.5188683797728864,-2.5188683797728864,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,1120,2.1084989152320155,0.6738475341878944,0.6567218711604123,0.6567218711604123,1,2.1084989152320155,1.1084989152320155,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,1266,2.1394866024548875,0.6717886607382911,0.32487733230581484,0.6751226676941852,-1,-2.1394866024548875,-3.1394866024548875,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,1628,0.4275395652242331,0.6920406298500461,0.34760210633369304,0.652397893666307,-1,-0.4275395652242331,-1.427539565224233,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,1813,2.040888973267041,0.7345198993756759,0.651994738491602,0.651994738491602,1,2.040888973267041,1.040888973267041,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,1869,-2.341818469511203,0.6829477384762331,0.342640947004932,0.657359052995068,-1,2.341818469511203,1.3418184695112032,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,2425,-1.5979811643895836,0.6553344919546109,0.6548339426358434,0.6548339426358434,1,-1.5979811643895836,-2.5979811643895836,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,2684,5.64243554070476,0.6579038395568153,0.6585851359930099,0.6585851359930099,1,5.64243554070476,4.64243554070476,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,2735,-2.1956757824070916,0.6698360682633994,0.660949587551039,0.660949587551039,1,-2.1956757824070916,-3.1956757824070916,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193127,2825,-0.01580811477941424,0.6575110904915227,0.6534711187056376,0.6534711187056376,1,-0.01580811477941424,-1.0158081147794142,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,195,0.5535754250463043,0.6889054267210104,0.318377605044797,0.6816223949552029,-1,-0.5535754250463043,-1.5535754250463043,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,829,0.8062138537567876,0.6550320036181388,0.6667795061754429,0.6667795061754429,1,0.8062138537567876,-0.19378614624321244,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,946,-6.5689690429449055,0.6661359338789488,0.34242351850347685,0.6575764814965231,-1,6.5689690429449055,5.5689690429449055,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1166,-0.7742940689858813,0.6506148775556843,0.34572095251092877,0.6542790474890712,-1,0.7742940689858813,-0.22570593101411873,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1220,-7.78047219962219,0.8617146581583979,0.6505441812529419,0.6505441812529419,1,-7.78047219962219,-8.78047219962219,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1371,-1.3753951296791023,0.6946605250791726,0.32293121572419115,0.6770687842758089,-1,1.3753951296791023,0.37539512967910227,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1451,1.6283413604223362,0.6747715911401415,0.3298886031758656,0.6701113968241343,-1,-1.6283413604223362,-2.6283413604223362,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1668,-0.4109103006522119,0.6860226601652436,0.3408360871716894,0.6591639128283107,-1,0.4109103006522119,-0.5890896993477881,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1894,0.015794856405015878,0.6635943677253188,0.6783262310894519,0.6783262310894519,1,0.015794856405015878,-0.9842051435949841,sensitivity_medium_0p65_0p65,0.65,0.65
20260717_193639,1992,-2.0531951269786575,0.68593929131367,0.6602740289904321,0.6602740289904321,1,-2.0531951269786575,-3.0531951269786575,sensitivity_medium_0p65_0p65,0.65,0.65
