run_name,horizon,n,mean_bps,std_bps,median_bps,mean_abs_bps,median_abs_bps,share_positive,share_abs_ge_1_bps,share_abs_ge_2_bps
20260704_132808,20,2893,0.002302385928810553,0.25787660089157954,0.0,0.08119075719800002,0.0,0.10197027307293467,0.0069132388524023505,0.006567576909782233
20260704_133321,20,2892,0.05728730896362477,0.40565277634656893,0.0,0.181910246694805,0.0,0.25553250345781464,0.051175656984785614,0.0
20260704_133834,20,2893,-0.028991068164695783,1.1402658845563545,0.0,0.3916472158203999,0.0,0.14310404424472867,0.10680954026961631,0.038368475630833045
20260704_134349,20,2892,0.06904248896026217,0.3753029495533366,0.0,0.11599623217144506,0.0,0.11618257261410789,0.02074688796680498,0.00656984785615491
20260704_134903,20,2892,0.013266499745676478,0.22623595325963744,0.0,0.07916944216982191,0.0,0.11307053941908714,0.0038035961272475795,0.0
20260704_135418,20,2893,-0.08306863558794969,0.4508638723316454,0.0,0.17617448013575485,0.0,0.07362599377808503,0.032492222606291046,0.015900449360525405
20260704_135929,20,2893,-0.06366832155408622,0.6980142179716258,0.0,0.3202151596127688,0.0,0.17490494296577946,0.0926374006221915,0.020739716557207053
20260704_140444,20,2893,0.033169461468193696,0.6091174291170838,0.0,0.2634802498441328,0.0,0.1738679571379191,0.1043899066712755,0.0197027307293467
20260704_141000,20,2893,0.00990203162239229,0.4351534343944185,0.0,0.14408439767353898,0.0,0.09194607673695127,0.05254061527825787,0.011752506049083997
20260704_141515,20,2893,0.02900268370850545,0.30480842291477755,0.0,0.06817323063090697,0.0,0.062219149671621156,0.027307293466989284,0.006567576909782233
20260704_142028,20,2893,-0.05102008224643075,0.45743756140037944,0.0,0.16572243839203296,0.0,0.09816799170411337,0.06844106463878327,0.006567576909782233
20260704_142541,20,2892,0.022598753136440643,0.295650048529855,0.0,0.08583535320270666,0.0,0.08575380359612725,0.014868603042876901,0.00656984785615491
20260704_143056,20,2892,-0.014058785100047573,0.35878099295885313,0.0,0.13953733402633542,0.0,0.08091286307053942,0.03284923928077455,0.0
20260704_143609,20,2893,-0.03055279739158474,0.4682607255165554,0.0,0.2166218887374513,0.0,0.161769789146215,0.060490839958520566,0.004493605254061528
20260704_144124,20,2893,0.02813413908388169,0.34648553273101595,0.0,0.12403092587302557,0.0,0.09367438645005186,0.04355340477013481,0.004839267196681645
20260704_144638,20,2893,0.021369482081209347,0.33632251483483777,0.0,0.13547093984702105,0.0,0.1482889733840304,0.03387487037677152,0.0
20260704_145150,20,2893,0.0261208097793157,0.3501482296792081,0.0,0.11185782354352816,0.0,0.13066021431040442,0.020394054614586935,0.006567576909782233
20260704_145704,20,2893,-0.01571302255852712,0.11357158044989926,0.0,0.026115731458124705,0.0,0.0197027307293467,0.0,0.0
20260704_125643,50,2862,-0.05976071780429389,0.6073416080434263,0.0,0.29843358572487577,0.0,0.11844863731656184,0.14709993011879804,0.0
20260704_130157,50,2863,-0.04719537429011163,0.477398794407513,0.0,0.1792919110247229,0.0,0.0852252881592735,0.07404820118756548,0.011875654907439748
20260704_130711,50,2862,-0.06958230578256885,0.45222358748493774,0.0,0.19648784227323612,0.0,0.13137665967854648,0.0517120894479385,0.0
20260704_131225,50,2862,-0.015152646897382873,0.5745031669303011,0.0,0.2566002338276442,0.0,0.16491963661774983,0.10866526904262754,0.026554856743535988
20260704_131740,50,2863,0.13045065842180717,0.4269343611038808,0.0,0.18961012220172824,0.0,0.3234369542438002,0.04121550820817325,0.015368494586098498
20260704_132254,50,2863,0.006150871368125363,0.39181809838042064,0.0,0.18378409840395268,0.0,0.2888578414250786,0.050646175340551866,0.0
20260704_132808,50,2863,0.00024860388299327026,0.41401713977772564,0.0,0.1935021612217647,0.0,0.22144603562696472,0.01746419839329375,0.017114914425427872
20260704_133321,50,2862,0.13831115044699663,0.6742998225451194,0.0,0.4041887890542393,0.07991222441328105,0.3986722571628232,0.15024458420684836,0.005241090146750524
20260704_133834,50,2863,-0.07323428098857226,1.8272023620937403,0.0,0.7835822850527743,0.20782758623383302,0.24345092560251486,0.21411107230178134,0.08347886831994411
20260704_134349,50,2862,0.16274594616332091,0.5787898324949801,0.0,0.26547656678052517,0.0,0.22571628232005592,0.06638714185883997,0.014675052410901468
20260704_134903,50,2862,0.02964676558579962,0.3615534319395318,0.0,0.18862536378881284,0.0,0.2344514325646401,0.016771488469601678,0.0
20260704_135418,50,2863,-0.20889088279222842,0.7226999784332111,0.0,0.4145128505488993,0.03197976320645779,0.13587146349982535,0.1198044009779951,0.03807195249738037
20260704_135929,50,2863,-0.1644026687650112,1.161024671871207,0.0,0.7054800808044431,0.4958647281028128,0.2979392245895913,0.22913028292001397,0.06880894166957736
20260704_140444,50,2863,0.082629001132244,1.0222942918399722,0.0,0.5826930945398373,0.20808539824668237,0.27209221096751657,0.23786238211666086,0.07265106531610199
20260704_141000,50,2863,0.02546444264062938,0.8028032058634209,0.0,0.36316935815597257,0.0,0.15892420537897312,0.13202933985330073,0.03597624869018512
20260704_141515,50,2863,0.0733786252109238,0.48707928550891877,0.0,0.17154807870697739,0.0,0.13831645127488648,0.06950750960530912,0.017114914425427872
20260704_142028,50,2863,-0.1312366682937451,0.7932920091465125,0.0,0.4162892806504384,0.0,0.1868669228082431,0.20572825707300035,0.035277680754453374
20260704_142541,50,2862,0.057089501341755736,0.47645098505283956,0.0,0.20366658070980947,0.0,0.1949685534591195,0.061495457721872815,0.017120894479385047
20260704_143056,50,2862,-0.03551278263317428,0.613500119095755,0.0,0.34346820042014914,0.032029082406292986,0.1642208245981831,0.0957372466806429,0.007686932215234102
20260704_143609,50,2863,-0.07700633648885927,0.8454038236324598,0.0,0.49703462355967,0.20825040028094044,0.2996856444289207,0.17918267551519385,0.03981837233670975
20260704_144124,50,2863,0.07107405214258747,0.5780312358791905,0.0,0.311390748604367,0.0,0.20572825707300035,0.13377575969263011,0.015717778553964373
20260704_144638,50,2863,0.053984519541972385,0.5515971021846623,0.0,0.3082602626065082,0.0,0.28012574222843173,0.12294795668878798,0.0
20260704_145150,50,2863,0.06500284229777739,0.5604219849850327,0.0,0.25439744310791584,0.0,0.26440796367446734,0.057981138665735246,0.025847013622074748
