run_name,row_in_run,future_return_bps,signal_direction,fold,model,signed_return_bps,net_return_bps,direction_correct,net_profitable
20260708_190508,2737,1.1931875440907014,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.1931875440907014,-2.1931875440907014,False,False
20260708_190508,2788,0.16122232316506668,1,fold_1_tue_to_wed,direct_multiclass_base,0.16122232316506668,-0.8387776768349333,True,False
20260708_190508,2839,2.450539803939833,-1,fold_1_tue_to_wed,direct_multiclass_base,-2.450539803939833,-3.450539803939833,False,False
20260708_191023,0,-9.071069330842674,-1,fold_1_tue_to_wed,direct_multiclass_base,9.071069330842674,8.071069330842674,True,True
20260708_191023,51,-3.1446971938819956,-1,fold_1_tue_to_wed,direct_multiclass_base,3.1446971938819956,2.1446971938819956,True,True
20260708_191023,102,0.822717985986543,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.822717985986543,-1.822717985986543,False,False
20260708_191023,159,3.1128806323188485,1,fold_1_tue_to_wed,direct_multiclass_base,3.1128806323188485,2.1128806323188485,True,True
20260708_191023,210,0.9996815530532999,1,fold_1_tue_to_wed,direct_multiclass_base,0.9996815530532999,-0.00031844694670013496,True,False
20260708_191023,261,-2.2248752336717637,-1,fold_1_tue_to_wed,direct_multiclass_base,2.2248752336717637,1.2248752336717637,True,True
20260708_191023,329,3.8863351778650745,1,fold_1_tue_to_wed,direct_multiclass_base,3.8863351778650745,2.8863351778650745,True,True
20260708_191023,380,1.7409176086569111,1,fold_1_tue_to_wed,direct_multiclass_base,1.7409176086569111,0.7409176086569111,True,True
20260708_191023,431,0.0,-1,fold_1_tue_to_wed,direct_multiclass_base,-0.0,-1.0,False,False
20260708_191023,500,-3.578264461144842,-1,fold_1_tue_to_wed,direct_multiclass_base,3.578264461144842,2.578264461144842,True,True
20260708_191023,551,2.9345821969206654,1,fold_1_tue_to_wed,direct_multiclass_base,2.9345821969206654,1.9345821969206654,True,True
20260708_191023,602,1.7570088938501094,-1,fold_1_tue_to_wed,direct_multiclass_base,-1.7570088938501094,-2.7570088938501094,False,False
20260708_191023,654,-0.4673789629505709,1,fold_1_tue_to_wed,direct_multiclass_base,-0.4673789629505709,-1.467378962950571,False,False
20260708_191023,705,-1.9663068486297508,1,fold_1_tue_to_wed,direct_multiclass_base,-1.9663068486297508,-2.966306848629751,False,False
